movie_id,revenue,budget,certification
tt0312305,0.0,0.0,
tt0326965,0.0,0.0,PG-13
tt0331312,0.0,0.0,
tt0393049,0.0,300000.0,
tt0398286,592461732.0,260000000.0,PG
tt0403645,0.0,55000000.0,
tt0411951,967000.0,30000000.0,R
tt0419692,0.0,0.0,NR
tt0423474,0.0,0.0,R
tt0427152,86387857.0,69000000.0,PG-13
tt0429493,177238796.0,110000000.0,PG-13
tt0435761,1066969703.0,200000000.0,G
tt0437462,0.0,0.0,
tt0445054,0.0,0.0,
tt0446029,48000000.0,85000000.0,PG-13
tt0451108,0.0,0.0,R
tt0454155,0.0,0.0,
tt0455407,54956140.0,20000000.0,R
tt0457591,0.0,0.0,
tt0460778,0.0,0.0,PG-13
tt0462516,0.0,0.0,
tt0463311,0.0,0.0,
tt0464154,83188165.0,24000000.0,R
tt0469094,0.0,0.0,NR
tt0473075,336365676.0,200000000.0,PG-13
tt0475983,0.0,20000.0,PG-13
tt0476023,0.0,0.0,
tt0477080,167805466.0,100000000.0,PG-13
tt0479051,0.0,24.0,
tt0479204,0.0,0.0,
tt0480255,23580000.0,25000000.0,PG-13
tt0482461,0.0,0.0,R
tt0483586,0.0,0.0,PG
tt0490236,0.0,0.0,
tt0492389,36236710.0,35000000.0,PG
tt0493949,27293743.0,15000000.0,G
tt0494229,0.0,0.0,
tt0758752,102820008.0,30000000.0,R
tt0765465,0.0,25400000.0,NR
tt0770778,0.0,2500000.0,R
tt0774519,0.0,0.0,
tt0775461,0.0,0.0,
tt0775489,6007194.0,18000000.0,PG
tt0775543,0.0,0.0,R
tt0780653,0.0,150000000.0,R
tt0790663,0.0,0.0,PG-13
tt0798817,3317662.0,0.0,R
tt0800320,493214993.0,125000000.0,PG-13
tt0800353,0.0,0.0,
tt0804497,6491240.0,8000000.0,PG-13
tt0808510,112462508.0,48000000.0,PG
tt0810815,0.0,0.0,
tt0811021,0.0,750000.0,
tt0811124,0.0,1000000.0,R
tt0813992,0.0,0.0,
tt0814255,226497209.0,95000000.0,PG
tt0815101,0.0,0.0,
tt0815236,49779728.0,20000000.0,R
tt0817177,1755212.0,14000000.0,PG
tt0817230,216485654.0,52000000.0,PG-13
tt0818098,0.0,0.0,
tt0826532,0.0,5.0,
tt0826823,0.0,10464.0,
tt0831280,0.0,0.0,R
tt0840361,154026136.0,37000000.0,R
tt0840789,0.0,0.0,
tt0842926,34705850.0,3500000.0,R
tt0844866,0.0,0.0,
tt0847215,0.0,0.0,
tt0850709,0.0,0.0,
tt0858411,0.0,500000.0,R
tt0858500,0.0,0.0,
tt0871893,0.0,0.0,NC-17
tt0872230,21500813.0,25000000.0,R
tt0878654,0.0,0.0,R
tt0878835,0.0,3000000.0,R
