movie_id,revenue,budget,certification
tt0113026,0.0,10000000.0,
tt0113092,0.0,0.0,
tt0116391,0.0,0.0,
tt0118694,14204632.0,150000.0,PG
tt0118852,0.0,0.0,R
tt0119273,0.0,15000000.0,R
tt0119495,0.0,0.0,R
tt0119806,0.0,0.0,
tt0119966,0.0,0.0,
tt0120202,9206279.0,0.0,
tt0120263,80334.0,0.0,
tt0120467,14904.0,120000.0,R
tt0120626,0.0,6105121.0,
tt0120630,224834564.0,45000000.0,G
tt0120698,0.0,0.0,
tt0120733,0.0,0.0,NR
tt0120753,105983.0,8000000.0,R
tt0120755,546388105.0,125000000.0,
tt0120903,296339527.0,75000000.0,PG-13
tt0120913,36754634.0,75000000.0,PG
tt0120917,169327687.0,100000000.0,G
tt0122161,0.0,0.0,R
tt0122459,36609995.0,24000000.0,PG
tt0123003,0.0,10000000.0,
tt0123055,0.0,0.0,G
tt0127349,327418.0,8500000.0,
tt0128158,0.0,0.0,
tt0130623,354248063.0,127500000.0,PG
tt0131704,35134820.0,76000000.0,PG
tt0132885,0.0,0.0,
tt0132910,0.0,10000000.0,R
tt0133752,0.0,0.0,
tt0134084,161834276.0,40000000.0,R
tt0134630,0.0,0.0,R
tt0134847,53187659.0,23000000.0,R
tt0134983,14828081.0,90000000.0,PG-13
tt0135707,0.0,0.0,
tt0138288,0.0,0.0,
tt0138353,0.0,1700000.0,R
tt0138749,76432727.0,95000000.0,PG
tt0138818,0.0,0.0,PG-13
tt0138927,0.0,0.0,PG-13
tt0138946,0.0,0.0,
tt0139388,0.0,0.0,PG
tt0139500,0.0,0.0,
tt0141926,127666415.0,62000000.0,PG-13
tt0142650,0.0,0.0,R
tt0143344,0.0,0.0,
tt0144084,34266564.0,7000000.0,R
tt0144142,0.0,3000000.0,R
tt0144189,0.0,0.0,
tt0144528,123307945.0,84000000.0,PG-13
tt0144574,0.0,0.0,
tt0144608,0.0,0.0,PG
tt0144964,15843608.0,25000000.0,R
tt0146309,34566746.0,80000000.0,PG-13
tt0146882,47126295.0,30000000.0,R
tt0146984,39459427.0,80000000.0,PG-13
tt0147486,0.0,0.0,
tt0148421,0.0,0.0,
