movie_id,primary_title,start_year,runtime_minutes
tt0156942,Rave,2000,85
tt0157007,After Image,2001,92
tt0157122,Faithless,2000,154
tt0157191,One Last Dance,2003,101
tt0157202,Yup Yup Man,2000,90
tt0157262,2001: A Space Travesty,2000,99
tt0157472,Clockstoppers,2002,94
tt0157583,Enigma,2001,119
tt0157836,Island of the Dead,2000,91
tt0158033,Nora,2000,106
tt0158622,The Flintstones in Viva Rock Vegas,2000,90
tt0159273,Behind Enemy Lines,2001,106
tt0159290,Bluebird,2004,77
tt0159291,Attention Shoppers,2000,87
tt0159365,Cold Mountain,2003,154
tt0159371,Impact,2000,90
tt0159378,The Demo Crew,2001,108
tt0159396,Civility,2000,82
tt0159784,Takedown,2000,92
tt0160009,The Art of War,2000,117
tt0160127,Charlie's Angels,2000,98
tt0160184,Eye See You,2002,96
tt0160239,Duty Dating,2002,94
tt0160240,Easter,2002,90
tt0160256,The Unscarred,2000,92
tt0160261,False River,2005,90
tt0160270,Fat Chance,2001,90
tt0160275,Final Solution,2001,102
tt0160289,Four Dogs Playing Poker,2000,97
tt0160399,Impostor,2001,95
tt0160403,The Independent,2000,81
tt0160425,Killing Cinderella,2000,88
tt0160434,Housebound,2000,89
tt0160447,The Last Great Ride,2000,89
tt0160480,Long Lost Love,2001,93
tt0160484,Lost Souls,2000,97
tt0160495,Luckytown,2000,101
tt0160547,More Dogs Than Bones,2000,92
tt0160611,Ordinary Decent Criminal,2000,93
tt0160616,Other Voices,2000,104
tt0160644,Passion of Mind,2000,105
tt0160652,The Perfect Tenant,2000,93
tt0160663,Blast,2000,88
tt0160706,The Prodigy,2005,120
tt0160710,Punks,2000,91
tt0160749,Red Dirt,2000,110
tt0160751,The Redemption,2000,105
tt0160759,Breathing Under Water,2000,45
tt0160797,Rules of Engagement,2000,128
tt0160859,Shades of Darkness,2000,88
tt0160870,Silent Screamplay,2003,120
tt0160905,Spooky House,2001,106
tt0161003,Train Ride,2000,93
tt0161081,What Lies Beneath,2000,130
tt0161083,What's the Worst That Could Happen?,2001,94
tt0161088,White Boy,2002,90
tt0161216,Steal This Movie,2000,107
tt0161860,Nowhere in Africa,2001,141
tt0162030,Unseen Evil,2001,93
tt0162203,Blue Shark Hash,2001,93
tt0162222,Cast Away,2000,143
tt0162346,Ghost World,2001,111
tt0162650,Shaft,2000,99
tt0162711,Trixie,2000,116
tt0162838,Three Days of Rain,2002,98
tt0162983,Hanging Up,2000,94
tt0163025,Jurassic Park III,2001,92
tt0163080,The Magic Pudding,2000,80
tt0163125,The Operator,2000,102
tt0163246,Skippy,2001,90
tt0163566,The Stranger,2000,95
tt0163596,Dark Water,2001,92
tt0163676,The in Crowd,2000,105
tt0163745,The Debut,2000,94
tt0163764,Net Worth,2001,94
tt0163978,The Beach,2000,119
tt0163983,Bless the Child,2000,107
tt0164003,City of Ghosts,2002,116
tt0164052,Hollow Man,2000,112
tt0164182,The Stonecutter,2000,95
tt0164184,The Sum of All Fears,2002,124
tt0164192,Boltneck,2000,92
tt0164212,Under Suspicion,2000,110
tt0164318,Across the Line,2000,99
tt0164334,Along Came a Spider,2001,104
tt0164545,Doomsday Man,2000,89
tt0164810,Pipe Dream,2002,91
tt0164953,Urban Mythology,2000,109
tt0164961,Vidocq,2001,98
tt0165361,Highway,2002,97
tt0165400,Nautilus,2000,97
tt0165452,The Rules (for Men),2001,96
tt0165642,Black Sea 213,2000,85
tt0165713,The Distinct Smell of Red,2001,81
tt0165800,The Giving Tree,2000,89
tt0165832,Interstate 60: Episodes of the Road,2002,116
tt0165928,Revenge,2000,94
tt0165929,Romeo Must Die,2000,115
tt0165982,Sinbad: Legend of the Seven Seas,2003,88
tt0166013,When the Sky Falls,2000,107
tt0166110,Bones,2001,96
tt0166158,Daddy and Them,2001,101
tt0166186,Still Life,2001,90
tt0166192,Finding Kelly,2000,88
tt0166276,Monkeybone,2001,93
tt0166339,Screenland Drive,2000,89
tt0166370,Subconscious Cruelty,2000,92
tt0166813,Spirit: Stallion of the Cimarron,2002,83
tt0166924,Mulholland Drive,2001,147
tt0167116,Desert Saints,2002,88
tt0167183,The Girls' Room,2000,101
tt0167190,Hellboy,2004,122
tt0167203,I Dreamed of Africa,2000,114
tt0167260,The Lord of the Rings: The Return of the King,2003,201
tt0167261,The Lord of the Rings: The Two Towers,2002,179
tt0167360,Race to Space,2001,104
tt0167456,Thunderbirds,2004,95
tt0168446,Aberdeen,2000,113
tt0168504,A Better Way to Die,2000,101
tt0168509,The Bird Watcher,2000,84
tt0168578,"Chicks, Man",2000,93
tt0168612,The Playaz Court,2000,97
tt0168629,Dancer in the Dark,2000,140
tt0168631,Innocents,2000,90
tt0168714,Dream Witch,2000,70
tt0168786,Antwone Fisher,2002,120
tt0168856,A Fish Tale,2000,80
tt0169102,Lagaan: Once Upon a Time in India,2001,224
tt0169122,Perfumed Garden: Tales of the Kama Sutra,2000,95
tt0169324,Tick Tock,2000,95
tt0169543,Almost Blue,2000,86
tt0169579,Baggage,2003,90
tt0170008,Hollywood Palms,2001,86
tt0170016,How the Grinch Stole Christmas,2000,104
tt0170367,Peroxide Passion,2001,84
tt0170452,Prince of Central Park,2000,109
tt0170508,Il resto di niente,2004,103
tt0170691,Tigerland,2000,101
tt0171339,Generation Ax,2001,78
tt0171356,Gun Shy,2000,101
tt0171359,Hamlet,2000,112
tt0171433,Keeping the Faith,2000,128
tt0171580,Nurse Betty,2000,110
tt0171827,The Thundering 8th,2000,100
tt0172156,Bad Boys II,2003,147
tt0172182,Blood Type,2018,90
tt0172464,The Million Dollar Kid,2000,91
tt0172495,Gladiator,2000,155
tt0172543,He Died with a Felafel in His Hand,2001,107
tt0172632,Joe Gould's Secret,2000,104
tt0172699,Labor Pains,2000,90
tt0172794,The Apostate,2000,94
tt0172854,Naked with Loons,2000,102
tt0172949,Party Crasher: My Bloody Birthday,2000,91
tt0172995,Play Dead,2001,79
tt0173498,Zigs,2001,93
tt0173568,The Sexy Mysterious Murders,2000,75
tt0173716,Cecil B. Demented,2000,87
tt0173840,Final Fantasy: The Spirits Within,2001,106
tt0174336,Whipped,2000,82
tt0174480,Autumn in New York,2000,103
tt0174646,Just for the Time Being,2000,79
tt0174732,Herman U.S.A.,2001,89
tt0175114,Retiring Tatiana,2000,108
tt0175142,Scary Movie,2000,88
tt0176185,The Story of O: Untold Pleasures,2002,98
tt0176244,Tripfall,2000,91
tt0176578,Building Bridges,2000,45
tt0176579,Bullfighter,2000,90
tt0176694,The Tragedy of Man,2011,160
tt0176783,Gossip,2000,90
tt0176883,Kids World,2000,93
tt0177068,Once in the Life,2000,107
tt0177185,The Rowdy Girls,2000,90
tt0177195,Sample People,2000,97
tt0177213,The Strange Case of Señor Computer,2000,91
tt0177513,All the Wrong Places,2000,95
tt0177636,Beloved Clara,2008,107
tt0177650,Company Man,2000,95
tt0177845,Hotel Splendide,2000,98
tt0177858,In July,2000,99
tt0177882,Kebab Connection,2004,96
tt0177885,Killer Bud,2001,92
tt0177888,King of the Jungle,2000,99
tt0177971,The Perfect Storm,2000,130
tt0177997,Women of the Night,2001,97
tt0178043,Stranger Than Fiction,2000,90
tt0178050,Sunset Strip,2000,90
tt0178642,The Invisible Circus,2001,93
tt0179098,Moonlight Mile,2002,117
tt0179144,Dean Quixote,2000,90
tt0179183,Fortress 2: Re-Entry,2000,92
tt0179344,Tell Me No Lies,2001,91
tt0179400,Out of Depth,2000,100
tt0179435,The Proposal,2001,91
tt0179443,Rancid Aluminum,2000,91
tt0179473,"South of Heaven, West of Hell",2000,131
tt0179626,15 Minutes,2001,120
tt0179653,Astoria,2000,103
tt0179803,Angels with Angles,2005,87
tt0179861,Icebreaker,2000,90
tt0180052,The Adventures of Pluto Nash,2002,95
tt0180073,Quills,2000,124
tt0180093,Requiem for a Dream,2000,102
tt0180679,Escanaba in da Moonlight,2001,91
tt0180683,Everything's Jake,2000,92
tt0180734,Hardball,2001,106
tt0181151,What Planet Are You From?,2000,105
tt0181311,Best,2000,102
tt0181430,Crossing the Rubicon,2002,115
tt0181536,Finding Forrester,2000,136
tt0181689,Minority Report,2002,145
tt0181739,Osmosis Jones,2001,95
tt0181836,The Specials,2000,82
tt0181852,Terminator 3: Rise of the Machines,2003,109
tt0181865,Traffic,2000,147
tt0181875,Almost Famous,2000,122
tt0181912,In Praise of Love,2001,97
tt0181945,A Piece of Eden,2000,106
tt0181984,Boiler Room,2000,120
tt0182000,The Caveman's Valentine,2001,105
tt0182027,The Cure for Boredom,2001,87
tt0182295,Love's Labour's Lost,2000,93
tt0182508,Urbania,2000,103
tt0183056,Esther Kahn,2000,157
tt0183113,Gentleman B.,2000,89
tt0183142,Gunblast Vodka,2000,97
tt0183280,Intrepid,2000,90
