movie_id,genre_id
tt0035423,5
tt0035423,9
tt0035423,18
tt0062336,7
tt0069049,7
tt0082328,12
tt0088751,5
tt0088751,12
tt0088751,19
tt0096056,7
tt0100275,5
tt0100275,7
tt0100275,9
tt0103340,4
tt0103340,7
tt0108549,5
tt0108549,15
tt0113026,14
tt0113026,18
tt0113092,0
tt0113092,2
tt0113092,7
tt0114447,0
tt0115937,7
tt0116391,0
tt0116391,6
tt0116391,7
tt0116628,0
tt0116628,22
tt0117163,7
tt0117743,7
tt0117743,18
tt0118141,7
tt0118589,7
tt0118589,13
tt0118589,18
tt0118652,5
tt0118652,12
tt0118652,15
tt0118694,7
tt0118694,18
tt0118710,7
tt0118852,7
tt0118926,6
tt0118926,7
tt0118926,22
tt0119004,5
tt0119004,7
tt0119231,5
tt0119273,0
tt0119273,2
tt0119273,3
tt0119495,5
tt0119495,7
tt0119495,18
tt0119806,5
tt0119806,18
tt0119966,7
tt0119966,22
tt0119970,5
tt0119970,7
tt0119970,19
tt0119980,7
tt0120166,2
tt0120166,8
tt0120166,9
tt0120202,5
tt0120202,7
tt0120263,5
tt0120263,7
tt0120467,6
tt0120467,7
tt0120467,22
tt0120607,5
tt0120624,7
tt0120624,11
tt0120626,7
tt0120626,11
tt0120626,23
tt0120630,2
tt0120630,3
tt0120630,5
tt0120667,0
tt0120667,2
tt0120667,9
tt0120673,0
tt0120673,7
tt0120673,19
tt0120679,4
tt0120679,7
tt0120679,18
tt0120681,12
tt0120681,15
tt0120681,22
tt0120698,5
tt0120698,7
tt0120698,22
tt0120733,3
tt0120733,8
tt0120733,14
tt0120737,0
tt0120737,2
tt0120737,7
tt0120753,7
tt0120753,15
tt0120753,22
tt0120755,0
tt0120755,2
tt0120755,22
tt0120804,0
tt0120804,12
tt0120804,19
tt0120807,7
tt0120824,7
tt0120903,0
tt0120903,2
tt0120903,19
tt0120912,0
tt0120912,2
tt0120912,5
tt0120913,0
tt0120913,2
tt0120913,3
tt0120917,2
tt0120917,3
tt0120917,5
tt0121164,3
tt0121164,7
tt0121164,8
tt0121765,0
tt0121765,2
tt0121765,9
tt0121766,0
tt0121766,2
tt0121766,9
tt0122161,7
tt0122161,22
tt0122247,5
tt0122247,12
tt0122247,15
tt0122459,5
tt0122459,7
tt0122459,18
tt0123003,5
tt0123003,7
tt0123055,5
tt0123055,8
tt0123581,5
tt0124889,5
tt0124889,6
tt0125022,5
tt0125022,6
tt0125022,18
tt0126029,2
tt0126029,3
tt0126029,5
tt0126899,6
tt0126899,22
tt0127349,7
tt0127349,15
tt0127349,18
tt0128158,12
tt0128165,0
tt0128165,6
tt0128216,5
tt0130623,2
tt0130623,3
tt0130623,7
tt0131597,0
tt0131597,6
tt0131597,19
tt0131704,2
tt0131704,5
tt0131704,8
tt0132078,5
tt0132245,0
tt0132245,7
tt0132245,20
tt0132885,22
tt0132910,0
tt0132910,6
tt0132910,9
tt0133063,9
tt0133152,0
tt0133152,2
tt0133152,19
tt0133240,2
tt0133240,3
tt0133240,8
tt0133752,6
tt0133752,7
tt0133752,22
tt0134084,12
tt0134084,15
tt0134630,5
tt0134630,7
tt0134630,13
tt0134847,0
tt0134847,12
tt0134847,19
tt0134983,12
tt0134983,19
tt0134983,22
tt0135707,7
tt0135707,8
tt0135707,24
tt0135991,3
tt0135991,5
tt0135991,19
tt0136517,5
tt0136517,7
tt0137204,2
tt0137204,3
tt0137204,5
tt0137698,1
tt0138288,5
tt0138353,6
tt0138353,7
tt0138524,5
tt0138524,6
tt0138524,18
tt0138583,5
tt0138583,18
tt0138749,2
tt0138749,3
tt0138749,5
tt0138818,7
tt0138856,7
tt0138927,7
tt0138946,6
tt0138946,7
tt0138946,18
tt0139159,6
tt0139159,22
tt0139297,1
tt0139388,5
tt0139388,18
tt0139500,7
tt0139654,6
tt0139654,7
tt0139654,22
tt0140806,7
tt0140806,13
tt0141120,0
tt0141120,22
tt0141907,5
tt0141907,18
tt0141926,0
tt0141926,23
tt0142634,5
tt0142650,5
tt0142650,18
tt0143344,0
tt0143344,7
tt0143558,7
tt0144084,6
tt0144084,7
tt0144084,12
tt0144142,5
tt0144142,7
tt0144142,18
tt0144189,7
tt0144189,15
tt0144280,6
tt0144280,9
tt0144280,15
tt0144528,5
tt0144528,18
tt0144528,19
tt0144574,2
tt0144574,5
tt0144574,6
tt0144608,0
tt0144608,2
tt0144608,3
tt0144964,0
tt0144964,2
tt0144964,9
tt0145487,0
tt0145487,2
tt0145487,19
tt0146063,2
tt0146063,3
tt0146063,8
tt0146272,5
tt0146272,7
tt0146309,7
tt0146309,11
tt0146309,22
tt0146316,0
tt0146316,2
tt0146316,9
tt0146803,7
tt0146882,5
tt0146882,7
tt0146882,13
tt0146984,7
tt0146984,9
tt0146984,20
tt0147447,1
tt0147486,0
